"repeat","lengths","index"
9,0.495,10
9,5.6450000000000005,11
9,5.915,12
9,5.33,13
9,0.155,14
9,1.805,15
9,0.17,16
9,7.425,17
9,1.18,18
9,10.78,19
9,1.245,20
9,0.655,21
9,0.505,22
9,8.795,23
9,2.355,24
9,10.870000000000001,25
9,1.6,26
9,8.635,27
9,0.24,28
9,2.33,29
9,5.785,30
9,2.445,31
9,0.08,32
9,0.63,33
9,0.015,34
9,9.53,35
9,3.19,36
9,15.865,37
9,4.155,38
9,1.93,39
9,3.325,40
9,20.740000000000002,41
9,2.495,42
9,5.785,43
9,0.19,44
9,11.33,45
9,0.08,46
9,0.025,47
9,0.035,48
9,16.97,49
9,3.86,50
9,11.465,51
9,1.29,52
9,1.7550000000000001,53
10,0.01,1
10,6.315,2
10,1.835,3
10,9.05,4
10,0.07,5
10,7.385,6
10,3.605,7
10,0.975,8
10,0.01,9
10,7.755,10
10,3.3200000000000003,11
10,2.21,12
10,0.075,13
10,8.44,14
10,0.035,15
10,1.795,16
10,1.98,17
10,22.78,18
10,0.16,19
10,5.6450000000000005,20
10,4.015,21
10,3.955,22
10,0.09,23
10,0.625,24
10,3.065,25
10,9.42,26
10,2.645,27
10,7.07,28
10,4.65,29
10,9.055,30
10,1.5250000000000001,31
10,20.55,32
10,0.46,33
10,0.035,34
10,0.41000000000000003,35
10,7.25,36
10,0.05,37
10,17.94,38
10,0.14,39
10,3.37,40
10,0.01,41
10,0.24,42
10,11.095,43
10,3.59,44
10,5.22,45
10,4.215,46
10,2.98,47
10,5.07,48
10,2.325,49
10,1.835,50
10,0.79,51
10,0.935,52
10,0.23500000000000001,53
10,5.195,54
10,5.015,55
10,9.385,56
10,0.22,57
10,0.01,58
10,0.04,59
10,1.83,60
11,0.005,1
11,0.17500000000000002,2
11,0.075,3
11,3.9650000000000003,4
11,0.335,5
11,5.73,6
11,4.32,7
11,10.705,8
11,0.13,9
11,0.185,10
11,3.8000000000000003,11
11,3.075,12
11,0.09,13
11,4.8100000000000005,14
11,5.47,15
11,5.66,16
11,2.17,17
11,0.085,18
11,0.34,19
11,0.08,20
11,0.09,21
11,2.77,22
11,1.4000000000000001,23
11,12.075000000000001,24
11,0.27,25
11,3.63,26
11,0.22,27
11,3.0700000000000003,28
11,0.04,29
11,0.075,30
11,3.0,31
11,7.195,32
11,0.1,33
11,0.035,34
11,0.035,35
11,18.39,36
11,0.04,37
11,1.0,38
11,0.835,39
11,12.995000000000001,40
11,6.355,41
11,18.17,42
11,1.8800000000000001,43
11,22.07,44
11,2.5500000000000003,45
11,5.155,46
11,0.26,47
11,0.8300000000000001,48
11,3.935,49
11,18.995,50
11,4.925,51
11,5.22,52
11,0.06,53
11,0.215,54
11,5.94,55
11,8.605,56
11,2.775,57
11,3.6950000000000003,58
11,1.045,59
11,3.5500000000000003,60
11,3.2800000000000002,61
11,2.025,62
12,0.005,1
12,0.1,2
12,0.095,3
12,4.4750000000000005,4
12,0.12,5
12,1.3900000000000001,6
12,3.59,7
12,6.345,8
12,2.615,9
12,4.91,10
12,0.24,11
12,26.835,12
12,2.935,13
12,2.1750000000000003,14
12,0.215,15
12,9.055,16
12,3.035,17
12,3.56,18
12,12.49,19
12,28.615000000000002,20
12,1.455,21
12,9.505,22
12,3.375,23
12,18.885,24
12,0.11,25
12,6.565,26
12,1.965,27
12,16.01,28
12,2.95,29
12,0.9450000000000001,30
12,0.065,31
12,2.935,32
12,1.665,33
12,13.030000000000001,34
12,7.515000000000001,35
12,5.84,36
12,0.1,37
12,0.055,38
12,0.03,39
12,6.24,40
12,0.005,41
12,0.005,42
12,0.005,43
12,0.01,44
12,6.775,45
12,4.325,46
12,8.92,47
12,7.92,48
13,6.83,1
13,0.87,2
13,11.6,3
13,0.42,4
13,3.7600000000000002,5
13,8.14,6
13,28.635,7
13,3.745,8
13,5.015,9
13,0.14,10
13,0.265,11
13,0.095,12
13,6.59,13
13,2.12,14
13,6.43,15
13,0.115,16
13,24.735,17
13,3.98,18
13,27.645,19
13,0.06,20
13,13.15,21
13,0.625,22
13,2.07,23
13,0.9400000000000001,24
13,2.475,25
13,3.63,26
13,9.450000000000001,27
13,6.8100000000000005,28
13,14.52,29
13,0.035,30
13,1.28,31
13,0.145,32
13,2.195,33
13,2.35,34
13,22.365000000000002,35
13,0.14,36
13,0.23500000000000001,37
13,0.985,38
13,12.620000000000001,39
13,0.155,40
13,2.64,41
14,0.005,1
14,0.295,2
14,8.6,3
14,8.165000000000001,4
14,3.565,5
14,4.925,6
14,0.11,7
14,2.355,8
14,3.685,9
14,8.625,10
14,4.075,11
