"DF","PR","repeat","gamma","x"
7.368062997280774,12.139244620058346,1,0.01,0.9999791671006854
12.139244620058346,12.139244620058346,1,0.01,1.0
20.000000000000004,12.139244620058346,1,0.01,1.0
1.0,20.000000000000004,1,0.01,0.0003958250869773546
1.6475489724420658,20.000000000000004,1,0.01,0.0024999479177517134
2.7144176165949068,20.000000000000004,1,0.01,0.30849357305056146
4.47213595499958,20.000000000000004,1,0.01,1.0
7.368062997280774,20.000000000000004,1,0.01,1.0
12.139244620058346,20.000000000000004,1,0.01,0.9999791671006854
20.000000000000004,20.000000000000004,1,0.01,1.0
1.0,1.0,2,0.01,0.5990500197912544
1.6475489724420658,1.0,2,0.01,0.6336951313514302
2.7144176165949068,1.0,2,0.01,0.7184641986625279
4.47213595499958,1.0,2,0.01,0.769713130976438
7.368062997280774,1.0,2,0.01,0.8397950042707444
12.139244620058346,1.0,2,0.01,0.9118976687985667
20.000000000000004,1.0,2,0.01,0.9640840815816337
1.0,1.6475489724420658,2,0.01,0.6279244182412866
1.6475489724420658,1.6475489724420658,2,0.01,0.6444449073977625
2.7144176165949068,1.6475489724420658,2,0.01,0.7385471136017999
4.47213595499958,1.6475489724420658,2,0.01,0.8528363992416824
7.368062997280774,1.6475489724420658,2,0.01,0.8921480802483281
12.139244620058346,1.6475489724420658,2,0.01,0.9507510260202913
20.000000000000004,1.6475489724420658,2,0.01,0.9777504635320098
1.0,2.7144176165949068,2,0.01,0.6547571925584884
1.6475489724420658,2.7144176165949068,2,0.01,0.6834024291160601
2.7144176165949068,2.7144176165949068,2,0.01,0.8412324743234516
4.47213595499958,2.7144176165949068,2,0.01,0.9260223745338638
7.368062997280774,2.7144176165949068,2,0.01,0.9715005937376304
12.139244620058346,2.7144176165949068,2,0.01,0.9897710464365326
20.000000000000004,2.7144176165949068,2,0.01,0.9998125039061686
1.0,4.47213595499958,2,0.01,0.9999791671006854
1.6475489724420658,4.47213595499958,2,0.01,0.9999791671006854
2.7144176165949068,4.47213595499958,2,0.01,0.9999791671006854
4.47213595499958,4.47213595499958,2,0.01,0.9999791671006854
7.368062997280774,4.47213595499958,2,0.01,0.9999791671006854
12.139244620058346,4.47213595499958,2,0.01,1.0
20.000000000000004,4.47213595499958,2,0.01,0.9999791671006854
1.0,7.368062997280774,2,0.01,1.0
1.6475489724420658,7.368062997280774,2,0.01,0.999687506510281
2.7144176165949068,7.368062997280774,2,0.01,0.9999791671006854
4.47213595499958,7.368062997280774,2,0.01,0.9999791671006854
7.368062997280774,7.368062997280774,2,0.01,0.9999791671006854
12.139244620058346,7.368062997280774,2,0.01,1.0
20.000000000000004,7.368062997280774,2,0.01,1.0
1.0,12.139244620058346,2,0.01,0.9992083498260453
1.6475489724420658,12.139244620058346,2,0.01,0.9989375221349556
2.7144176165949068,12.139244620058346,2,0.01,0.9999791671006854
4.47213595499958,12.139244620058346,2,0.01,0.9999791671006854
7.368062997280774,12.139244620058346,2,0.01,0.9999791671006854
12.139244620058346,12.139244620058346,2,0.01,0.9999791671006854
20.000000000000004,12.139244620058346,2,0.01,0.9999791671006854
1.0,20.000000000000004,2,0.01,2.0832899314597614e-5
1.6475489724420658,20.000000000000004,2,0.01,0.0008541488718985021
2.7144176165949068,20.000000000000004,2,0.01,0.16376742151205184
4.47213595499958,20.000000000000004,2,0.01,0.9999791671006854
7.368062997280774,20.000000000000004,2,0.01,1.0
12.139244620058346,20.000000000000004,2,0.01,0.9999791671006854
20.000000000000004,20.000000000000004,2,0.01,1.0
1.0,1.0,3,0.01,0.5686548196912564
1.6475489724420658,1.0,3,0.01,0.6298827107768589
2.7144176165949068,1.0,3,0.01,0.6872773483885752
4.47213595499958,1.0,3,0.01,0.766609028978563
7.368062997280774,1.0,3,0.01,0.8536072165163225
12.139244620058346,1.0,3,0.01,0.9156684235745088
20.000000000000004,1.0,3,0.01,0.957438386700277
1.0,1.6475489724420658,3,0.01,0.549363554925939
1.6475489724420658,1.6475489724420658,3,0.01,0.6806941522051624
2.7144176165949068,1.6475489724420658,3,0.01,0.7833378471281849
4.47213595499958,1.6475489724420658,3,0.01,0.8525030728526489
7.368062997280774,1.6475489724420658,3,0.01,0.9036895064686152
12.139244620058346,1.6475489724420658,3,0.01,0.9521468302743693
20.000000000000004,1.6475489724420658,3,0.01,0.9726255703006187
1.0,2.7144176165949068,3,0.01,0.6265494468865231
1.6475489724420658,2.7144176165949068,3,0.01,0.7123809920626654
2.7144176165949068,2.7144176165949068,3,0.01,0.8310243536592987
4.47213595499958,2.7144176165949068,3,0.01,0.940563738255453
7.368062997280774,2.7144176165949068,3,0.01,0.9698964604904065
